fid,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation,X,Y
"108",25.45564,13.88733,73.49675,113.28316,34.26704,15.37188,18.89516,26.43869,24.25586,1160.59839,276.90811,2.35498,110.82861,688.28534,16.1999,201,-96.400944,15.7825
"109",24.90025,15.21703,66.66729,200.68968,36.61534,13.79001,22.82533,27.32148,22.57091,932.46216,200.3735,2.2073,112.0519,588.8418,8.86383,844,-99.465833,18.294722
"110",24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188,-91.094444,16.0875
"111",26.66202,10.05076,59.44952,176.16982,34.96935,18.06297,16.90638,28.30161,24.61206,1003.54565,232.97639,4.51122,110.44044,603.77521,13.72869,60.5,-95.094278,16.564611
"112",24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188,-91.096111,16.088889
"113",26.91016,13.45949,75.14407,110.76821,35.20077,17.2892,17.91157,27.73561,25.66514,654.98364,156.386,0.89856,112.83875,413.45691,7.60062,21,-95.587333,15.968556
"114",18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5,-91.628889,16.096667
"115",16.60518,12.2001,65.8013,158.71568,26.27312,7.7323,18.54082,18.58377,14.79607,915.69202,172.2258,8.09356,87.15936,480.63672,46.07384,1796.5,-96.491667,17.325
"116",26.63327,13.0701,66.70173,168.07153,36.00553,16.41068,19.59485,28.24943,24.64031,746.61578,169.3504,2.23902,110.52313,466.95981,10.92361,185,-95.599444,16.411944
"117",24.79543,12.74904,75.81474,88.79501,32.86163,16.04558,16.81605,25.69294,23.79225,3553.26953,665.85553,14.37659,85.46685,1740.74548,118.19726,635.5,-92.215555,15.088333
"118",14.48312,12.87937,73.26527,136.23621,22.88352,5.30442,17.5791,15.77564,12.77307,1214.60742,237.011,18.67454,79.65966,557.84088,72.18022,2149,-92.723028,16.765861
"119",21.50122,14.17954,70.26359,145.50101,31.60972,11.42923,20.18049,23.07003,19.80645,936.18188,208.6772,3.91929,107.54662,577.96051,13.18507,1369,-99.165,17.660917
"120",26.9789,11.98028,66.01694,156.71271,35.62705,17.47977,18.14728,28.42097,25.13904,714.1084,171.6062,0.85193,115.70615,456.83682,6.75875,115,-95.333611,16.34875
