verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Anopheles) pseudopunctipennis,26.722778,-108.321194,60.0,2008
Anopheles (Anopheles) pseudopunctipennis,20.718833,-103.980833,80.0,2007
Anopheles (Anopheles) pseudopunctipennis,21.471944,-104.851444,80.0,2007
Anopheles (Anopheles) pseudopunctipennis,24.802972,-107.300583,50.0,2009
Anopheles (Anopheles) pseudopunctipennis,18.355917,-102.299722,90.0,2007
Anopheles (Anopheles) pseudopunctipennis,19.058056,-100.6865,90.0,2007
Anopheles (Anopheles) pseudopunctipennis,20.735417,-105.148305,80.0,2008
Anopheles (Anopheles) pseudopunctipennis,25.569222,-107.870361,50.0,2008
Anopheles (Anopheles) pseudopunctipennis,22.649722,-105.288833,80.0,2007
Anopheles (Anopheles) pseudopunctipennis,21.236778,-104.916333,80.0,2008
Anopheles (Anopheles) pseudopunctipennis,25.973861,-109.303278,60.0,2008
Anopheles (Anopheles) pseudopunctipennis,26.145444,-108.733472,60.0,2008
Anopheles (Anopheles) pseudopunctipennis,25.54725,-107.386944,50.0,2009
Anopheles (Anopheles) pseudopunctipennis,25.788528,-107.56125,50.0,2009
Anopheles (Anopheles) pseudopunctipennis,19.704667,-103.476944,90.0,2008
Anopheles (Anopheles) pseudopunctipennis,19.770917,-103.469972,90.0,2007
Anopheles (Anopheles) pseudopunctipennis,22.881889,-105.953889,80.0,2008
Anopheles (Anopheles) pseudopunctipennis,26.408806,-108.617667,60.0,2008
Anopheles (Anopheles) pseudopunctipennis,20.321167,-105.332722,90.0,2008
Anopheles (Anopheles) pseudopunctipennis,23.072528,-105.838972,70.0,2007
Anopheles (Anopheles) pseudopunctipennis,19.183111,-104.527805,90.0,2007
Anopheles (Anopheles) pseudopunctipennis,21.693472,-105.134805,80.0,2009
Anopheles (Anopheles) pseudopunctipennis,15.728139,-96.464528,100.0,2000
Anopheles (Anopheles) pseudopunctipennis,26.043056,-108.039917,60.0,2009
Anopheles (Anopheles) pseudopunctipennis,19.073583,-102.402278,90.0,2007
Anopheles (Anopheles) pseudopunctipennis,20.479833,-103.453917,80.0,2007
Anopheles (Anopheles) pseudopunctipennis,26.704833,-108.321861,60.0,2007
Anopheles (Anopheles) pseudopunctipennis,26.252889,-108.984722,60.0,2009
Anopheles (Anopheles) pseudopunctipennis,18.387194,-102.29125,90.0,2007
Anopheles (Anopheles) pseudopunctipennis,19.30725,-103.840555,90.0,2008
Anopheles (Anopheles) pseudopunctipennis,21.4295,-104.564861,80.0,2009
Anopheles (Anopheles) pseudopunctipennis,25.918944,-108.986222,60.0,2008
Anopheles (Anopheles) pseudopunctipennis,23.792861,-106.59775,70.0,2007
Anopheles (Anopheles) pseudopunctipennis,23.680833,-100.195867,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,27.441633,-100.397033,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,25.866267,-99.949722,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,25.121764,-99.915303,0.0,2007
Anopheles (Anopheles) pseudopunctipennis,24.669722,-99.598611,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,25.687028,-99.449611,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,25.815333,-100.151783,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,25.916878,-100.350066,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,25.697886,-100.259783,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,26.02,-100.537361,0.0,2007
Anopheles (Anopheles) pseudopunctipennis,25.727717,-99.2181,0.0,2002
Anopheles (Anopheles) pseudopunctipennis,25.389694,-99.9275,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,26.481389,-100.221944,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,26.483111,-100.220556,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,25.934533,-100.3616,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,24.668889,-99.604444,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,25.385889,-99.92675,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,26.54125,-100.492917,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,25.780417,-100.13485,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,26.545917,-100.581889,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,26.719806,-100.531194,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,25.705472,-100.000661,0.0,2007
Anopheles (Anopheles) pseudopunctipennis,26.3002,-99.5478,0.0,2002
Anopheles (Anopheles) pseudopunctipennis,24.854722,-98.114167,0.0,2003
Anopheles (Anopheles) pseudopunctipennis,26.513,-100.173033,0.0,2003
Anopheles (Anopheles) pseudopunctipennis,24.964444,-98.803611,0.0,2005
Anopheles (Anopheles) pseudopunctipennis,26.477222,-100.229722,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,25.941917,-100.40145,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,25.387028,-99.927056,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,25.925517,-100.160267,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,25.384917,-99.926167,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,25.855806,-97.468167,0.0,2003
Anopheles (Anopheles) pseudopunctipennis,24.854861,-98.114167,0.0,2007
Anopheles (Anopheles) pseudopunctipennis,25.957583,-100.29075,0.0,2002
Anopheles (Anopheles) pseudopunctipennis,25.872983,-100.069817,0.0,2002
Anopheles (Anopheles) pseudopunctipennis,25.993333,-100.525833,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,26.485983,-100.222583,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,26.001111,-100.511111,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,25.964033,-100.014083,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,24.674111,-99.602778,0.0,2007
Anopheles (Anopheles) pseudopunctipennis,25.984444,-99.179444,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,25.176389,-97.947778,0.0,2004
Anopheles (Anopheles) pseudopunctipennis,24.873889,-99.342222,0.0,2009
Anopheles (Anopheles) pseudopunctipennis,25.374778,-99.931389,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,25.777167,-100.088967,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,24.854722,-98.114167,0.0,2006
Anopheles (Anopheles) pseudopunctipennis,24.678194,-98.634,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,27.479806,-99.548417,0.0,2004
Anopheles (Anopheles) pseudopunctipennis,27.454417,-100.24235,0.0,2002
Anopheles (Anopheles) pseudopunctipennis,25.650983,-100.448717,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,24.667528,-99.594056,0.0,2007
Anopheles (Anopheles) pseudopunctipennis,25.994167,-100.538056,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,26.534361,-100.540694,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,25.803583,-100.587067,0.0,2001
Anopheles (Anopheles) pseudopunctipennis,19.119167,-100.347778,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,20.920278,-99.929167,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,15.895556,-96.673889,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,15.834722,-96.595555,0.0,2008
Anopheles (Anopheles) pseudopunctipennis,21.179444,-98.856389,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,15.909444,-96.375555,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,15.850556,-96.793055,0.0,2010
Anopheles (Anopheles) pseudopunctipennis,19.172778,-100.255833,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,21.109722,-100.136111,80.0,2004
Anopheles (Anopheles) pseudopunctipennis,19.050833,-100.245278,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,21.073333,-98.954444,80.0,2012
Anopheles (Anopheles) pseudopunctipennis,15.783333,-96.4875,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,18.900833,-99.454444,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,24.588611,-111.0825,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,19.191667,-100.324444,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,21.846111,-102.718333,80.0,2010
Anopheles (Anopheles) pseudopunctipennis,20.828889,-99.024167,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,21.203611,-99.565555,0.0,2012
Anopheles (Anopheles) pseudopunctipennis,21.027778,-99.741667,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,24.732222,-104.088889,50.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.868611,-96.478611,100.0,2010
Anopheles (Anopheles) pseudopunctipennis,16.726667,-97.571944,100.0,2010
Anopheles (Anopheles) pseudopunctipennis,19.114722,-100.314722,0.0,2011
Anopheles (Anopheles) pseudopunctipennis,15.907222,-96.686111,100.0,2010
