verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles albimanus,22.28385,-97.95029,0.0,1965
Anopheles albimanus,18.68402,-103.28373,0.0,1964
Anopheles albimanus,16.20082,-95.23356,0.0,1964
Anopheles albimanus,17.43409,-95.03355,0.0,1964
Anopheles albimanus,22.86714,-105.10044,0.0,1956
Anopheles albimanus,23.73378,-99.30032,0.0,1950
Anopheles albimanus,20.41728,-86.91671,0.0,1942
Anopheles albimanus,17.98407,-92.91684,0.0,1942
Anopheles albimanus,22.21719,-97.85029,0.0,1921
Anopheles albimanus,22.21719,-97.85029,0.0,1902
