verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes aegypti,MX,16.33,-98.03,0.0,1996,26.87399,12.54266,66.62464,123.77009,36.1301,17.30424,18.82586,28.03339,25.59985,1234.03223,318.9317,2.10544,116.65612,772.23999,16.75882,183.5
Aedes aegypti,MX,16.47,-94.36,0.0,1996,27.07566,13.99875,68.19891,163.40257,36.88059,16.35423,20.52636,28.57224,25.10736,1289.2218,291.65869,2.25049,106.00098,752.41602,9.95929,57.0
Aedes aegypti,MX,17.07,-96.72,0.0,1996,20.02791,16.23841,67.95385,199.9632,31.83093,7.9347,23.89623,22.09716,17.55608,674.9964,141.054,2.17156,91.27792,360.03131,19.51244,1571.0
Aedes aegypti,MX,15.86,-97.06,0.0,1996,25.93407,12.65578,69.39319,135.54234,33.81544,15.57765,18.23779,27.1111,24.46782,1043.53088,275.7583,0.5811,118.86024,689.15839,12.59388,21.5
Aedes aegypti,MX,15.14,-92.47,0.0,1996,27.47256,13.06537,72.45811,103.12072,36.04769,18.01607,18.03162,28.56547,26.30447,3013.56445,595.3761,7.91881,91.20891,1554.13037,54.57149,41.5
Aedes aegypti,MX,15.75,-96.46,0.0,1996,25.57184,13.80866,73.19313,116.77619,34.30947,15.44341,18.86606,26.58938,24.34114,1117.56702,271.6376,2.52978,111.37982,669.34564,14.88902,156.0
Aedes aegypti,MX,18.36,-99.54,0.0,1996,25.13124,15.36173,65.58272,209.65927,37.16866,13.74522,23.42344,27.65893,22.71581,948.17438,205.21271,2.4726,112.39995,601.72351,8.93686,763.0
Aedes aegypti,MX,14.97,-92.15,0.0,1996,25.60184,12.63891,74.53477,87.28814,33.76947,16.8124,16.95707,26.51902,24.66786,3445.83472,630.08838,11.36077,84.68321,1675.31311,106.89436,436.0
Aedes aegypti,MX,14.73,-92.42,0.0,1996,27.6831,12.51371,76.4261,92.54716,35.2295,18.85589,16.37361,28.43811,26.73888,2158.67334,421.85129,4.24634,90.60149,1079.56995,34.18861,7.0
Aedes aegypti,MX,14.62,-92.18,0.0,1996,27.54588,12.74762,74.81242,100.12321,35.44462,18.40518,17.03944,28.44883,26.49607,1827.4021,356.242,4.05823,88.99374,893.32721,31.29582,20.0
Aedes aegypti,MX,16.09,-93.75,0.0,1996,28.0893,11.27697,72.06747,107.73512,35.50671,19.85892,15.64779,29.24367,26.97644,1576.67834,317.22079,2.11601,101.78248,890.74554,22.01175,51.5
Aedes aegypti,MX,17.55,-99.5,0.0,1996,21.91047,14.22304,69.59335,144.13251,31.94515,11.5078,20.43735,23.34239,20.22601,922.91144,207.0117,4.13736,107.13403,572.50842,16.92862,1249.0
Aedes aegypti,MX,20.06,-97.04,0.0,1998,23.82928,10.53998,53.44851,346.66986,33.37374,13.65386,19.71988,27.39753,19.97988,1687.46436,312.20029,62.04281,50.91697,649.04462,229.07487,59.0
Aedes aegypti,MX,18.37,-95.81,0.0,1999,25.35064,9.48502,49.99567,270.52695,34.99839,16.0267,18.97169,28.11346,22.15655,1561.80322,374.76859,14.24095,94.91138,928.73602,49.96594,8.0
Aedes aegypti,MX,18.89,-96.92,0.0,1999,21.55824,12.44476,61.26161,241.29913,31.78098,11.46686,20.31412,23.96218,18.79798,1888.10999,384.04221,34.2584,92.25916,1061.95203,119.39079,828.0
Aedes aegypti,MX,20.96,-97.41,0.0,1998,23.86369,9.12082,50.39828,343.56406,32.29399,14.1965,18.09749,27.38466,20.03604,1350.00793,252.4801,27.38468,69.23115,626.39868,115.52229,11.5
Aedes aegypti,MX,19.53,-96.91,0.0,1998,17.94445,10.30659,60.94569,214.95447,26.40903,9.49792,16.91111,20.09987,15.4448,1611.31165,272.24341,50.44126,65.42316,708.02277,153.83102,1382.0
Aedes aegypti,MX,22.05,-98.18,0.0,1999,23.82044,11.5656,52.6109,389.50381,34.05317,12.06989,21.98328,27.73756,19.44244,911.8363,205.8638,12.49208,79.17654,465.15491,62.57759,10.0
Aedes aegypti,MX,19.19,-96.14,0.0,1999,24.91833,10.05398,56.51292,249.08617,33.31105,15.52046,17.79059,27.40749,22.07704,1187.59094,286.94769,8.8946,107.17607,765.40186,29.36533,13.0
Aedes aegypti,MX,20.55,-97.47,0.0,1999,24.14441,10.68458,53.43056,346.69519,33.68592,13.68878,19.99714,27.69164,20.20249,1195.66565,228.8168,37.00081,56.66729,486.7171,146.34142,49.0
Aedes aegypti,MX,19.19,-96.14,0.0,1998,24.91833,10.05398,56.51292,249.08617,33.31105,15.52046,17.79059,27.40749,22.07704,1187.59094,286.94769,8.8946,107.17607,765.40186,29.36533,13.0
Aedes aegypti,MX,20.96,-97.41,0.0,1999,23.86369,9.12082,50.39828,343.56406,32.29399,14.1965,18.09749,27.38466,20.03604,1350.00793,252.4801,27.38468,69.23115,626.39868,115.52229,11.5
Aedes aegypti,MX,18.45,-95.22,0.0,1999,23.39004,8.95333,50.94042,245.02483,32.55782,14.98174,17.57608,25.98694,20.51449,1835.71497,359.99951,17.96085,80.57008,958.10138,73.39316,301.0
Aedes aegypti,MX,19.53,-96.91,0.0,1999,17.94445,10.30659,60.94569,214.95447,26.40903,9.49792,16.91111,20.09987,15.4448,1611.31165,272.24341,50.44126,65.42316,708.02277,153.83102,1382.0
Aedes aegypti,MX,20.55,-97.47,0.0,1998,24.14441,10.68458,53.43056,346.69519,33.68592,13.68878,19.99714,27.69164,20.20249,1195.66565,228.8168,37.00081,56.66729,486.7171,146.34142,49.0
Aedes aegypti,MX,18.37,-95.81,0.0,1998,25.35064,9.48502,49.99567,270.52695,34.99839,16.0267,18.97169,28.11346,22.15655,1561.80322,374.76859,14.24095,94.91138,928.73602,49.96594,8.0
Aedes aegypti,MX,20.06,-97.04,0.0,1999,23.82928,10.53998,53.44851,346.66986,33.37374,13.65386,19.71988,27.39753,19.97988,1687.46436,312.20029,62.04281,50.91697,649.04462,229.07487,59.0
Aedes aegypti,MX,18.45,-95.22,0.0,1998,23.39004,8.95333,50.94042,245.02483,32.55782,14.98174,17.57608,25.98694,20.51449,1835.71497,359.99951,17.96085,80.57008,958.10138,73.39316,301.0
