verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Anopheles (Nyssorhynchus) albimanus,15.258333,-92.858333,100.0,2002,27.43171,12.90113,75.71206,93.25479,35.29777,18.25804,17.03973,28.23038,26.42186,2962.20923,598.15521,6.25206,95.5212,1624.97534,46.35621,6.5
Anopheles (Nyssorhynchus) albimanus,17.988889,-102.346305,90.0,2007,26.74575,10.15759,68.44213,142.14467,32.83843,17.99729,14.84114,28.11858,25.03728,1166.7179,353.35291,0.14301,120.60871,828.00549,1.13565,10.0
Anopheles (Nyssorhynchus) albimanus,18.899194,-100.735889,90.0,2007,27.17524,16.55219,62.36398,235.61351,40.7722,14.23094,26.54126,30.10331,24.58224,849.31628,207.7495,1.98263,117.90189,561.85767,9.35104,375.0
Anopheles (Nyssorhynchus) albimanus,19.534194,-104.519611,90.0,2007,25.60978,15.54482,65.67396,191.68336,36.59589,12.9262,23.66969,27.54415,23.57553,1080.35681,270.54401,0.62161,121.22889,775.3407,5.4554,276.5
Anopheles (Nyssorhynchus) albimanus,22.532972,-105.729194,80.0,2007,25.18769,13.29442,62.18138,293.24612,33.9997,12.61963,21.38007,28.28768,21.93328,1004.97626,276.92111,0.64646,126.1319,764.59814,5.09263,4.0
Anopheles (Nyssorhynchus) albimanus,19.073583,-102.402278,90.0,2007,27.2358,14.88117,62.04074,207.12331,39.51103,15.52491,23.98612,29.68077,24.97655,787.85284,178.88789,0.71627,109.66537,511.23828,4.83231,273.0
Anopheles (Nyssorhynchus) albimanus,21.627778,-105.285333,80.0,2008,25.43084,12.3303,58.61032,280.90445,34.86473,13.82697,21.03776,28.44876,22.38756,1398.60327,418.17499,1.21934,127.34708,1057.37744,18.2057,4.0
Anopheles (Nyssorhynchus) albimanus,22.530306,-105.447361,80.0,2007,25.48046,14.56466,62.12412,286.40756,35.81049,12.36604,23.44445,28.50927,22.2805,1133.70227,309.72571,0.87447,129.75011,882.04529,6.84856,16.5
Anopheles (Nyssorhynchus) albimanus,15.575,-93.191667,100.0,2002,27.73036,12.33459,73.8978,95.41256,35.58055,18.88913,16.69142,28.74322,26.78013,2493.63574,533.02081,3.41223,100.20161,1423.12976,33.43346,13.0
Anopheles (Nyssorhynchus) albimanus,18.027722,-102.201139,90.0,2007,26.96335,10.21391,67.39182,133.29584,33.43943,18.28342,15.15601,28.20804,25.43011,1068.68604,313.86511,0.14881,117.72771,739.48413,1.94753,34.5
Anopheles (Nyssorhynchus) albimanus,18.930056,-104.066389,90.0,2008,25.95683,12.81797,69.3245,188.47054,33.76039,15.27058,18.48981,27.8948,23.54218,824.36163,206.3374,0.17807,109.31725,531.65381,3.34376,3.0
Anopheles (Nyssorhynchus) albimanus,19.221611,-104.685833,90.0,2007,25.95389,12.76767,68.63026,191.89977,33.65165,15.04809,18.60356,27.92638,23.522,822.78833,220.5307,0.45411,114.00996,546.19592,3.55832,9.5
Anopheles (Nyssorhynchus) albimanus,15.198611,-92.686111,100.0,2007,27.49222,13.03044,74.33391,101.04651,35.54108,18.01147,17.52961,28.38079,26.35559,3081.05225,614.30408,7.43011,93.31395,1645.41333,51.33237,14.0
