fid,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation,X,Y
"135",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"136",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"137",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"138",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"139",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"140",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"141",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"142",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"143",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"144",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"145",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
"146",25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13,-88.269194,18.575694
